,Origin ISO,Destination ISO,distw_harmonic
597,AGO,MMR,9557.181818181818
598,AGO,MNE,5793.3125
599,AGO,MNG,11047.242424242424
600,AGO,MNP,14791.818181818182
601,AGO,MOZ,2609.121212121212
602,AGO,MRT,4487.818181818182
603,AGO,MSR,8858.666666666666
604,AGO,MTQ,8683.848484848484
605,AGO,MUS,4825.363636363636
606,AGO,MWI,2314.2727272727275
607,AGO,MYS,10036.969696969696
608,AGO,MYT,3452.4545454545455
609,AGO,NAM,1405.1515151515152
610,AGO,NCL,15374.757575757576
611,AGO,NER,2816.121212121212
612,AGO,NGA,2111.090909090909
613,AGO,NIC,11316.515151515152
614,AGO,NIU,16774.939393939392
615,AGO,NLD,6906.969696969697
616,AGO,NOR,7732.424242424242
617,AGO,NPL,8728.151515151516
618,AGO,NRU,16838.151515151516
619,AGO,NZL,14229.333333333334
620,AGO,OMN,5961.181818181818
621,AGO,PAK,7464.939393939394
622,AGO,PAN,10537.545454545454
623,AGO,PER,9834.181818181818
624,AGO,PHL,12201.0
625,AGO,PLW,13511.878787878788
626,AGO,PNG,14445.363636363636
627,AGO,POL,6871.242424242424
628,AGO,PRI,9314.515151515152
629,AGO,PRK,12650.636363636364
630,AGO,PRT,5935.333333333333
631,AGO,PRY,7655.363636363636
632,AGO,PSE,5078.545454545455
633,AGO,PYF,16461.757575757576
634,AGO,QAT,5643.666666666667
635,AGO,REU,4624.393939393939
636,AGO,ROU,6197.30303030303
637,AGO,RUS,8007.354838709677
638,AGO,RWA,2014.969696969697
639,AGO,SAU,4898.969696969697
640,AGO,SDN,3423.212121212121
641,AGO,SEN,4371.030303030303
642,AGO,SGP,10054.0
643,AGO,SHN,2222.6969696969695
644,AGO,SLB,15714.424242424242
645,AGO,SLE,3604.878787878788
646,AGO,SLV,11654.030303030304
647,AGO,SMR,5949.424242424242
648,AGO,SOM,3772.212121212121
649,AGO,SPM,9310.60606060606
650,AGO,SRB,6068.3125
651,AGO,SSD,2554.2727272727275
652,AGO,STP,1332.8484848484848
653,AGO,SUR,7834.212121212121
654,AGO,SVK,6422.241379310345
655,AGO,SVN,6182.354838709677
656,AGO,SWE,7567.787878787879
657,AGO,SWZ,2567.6060606060605
658,AGO,SXM,8965.75
659,AGO,SYC,4642.636363636364
660,AGO,SYR,5528.484848484848
661,AGO,TCA,9886.121212121212
662,AGO,TCD,2414.3030303030305
663,AGO,TGO,2228.818181818182
664,AGO,THA,9964.69696969697
665,AGO,TJK,7818.870967741936
666,AGO,TKL,17801.242424242424
667,AGO,TKM,7035.5161290322585
668,AGO,TLS,12213.65
669,AGO,TON,16435.030303030304
670,AGO,TTO,8632.363636363636
671,AGO,TUN,5117.69696969697
672,AGO,TUR,5782.454545454545
673,AGO,TUV,17416.272727272728
674,AGO,TWN,12219.878787878788
675,AGO,TZA,2692.6969696969695
676,AGO,UGA,2378.4848484848485
677,AGO,UKR,6750.5161290322585
678,AGO,URY,7559.151515151515
679,AGO,USA,11892.272727272728
680,AGO,UZB,7973.8387096774195
681,AGO,VCT,8662.515151515152
682,AGO,VEN,9286.848484848484
683,AGO,VGB,9148.151515151516
684,AGO,VIR,9148.151515151516
685,AGO,VNM,10583.424242424242
686,AGO,VUT,15875.09090909091
687,AGO,WLF,17219.21212121212
688,AGO,WSM,17309.848484848484
689,AGO,YEM,4327.909090909091
690,AGO,ZAF,2511.3030303030305
691,AGO,ZMB,1668.0
692,AGO,ZWE,2027.6969696969697
693,AIA,ABW,978.0
694,AIA,AFG,12229.121212121212
695,AIA,AGO,8983.0
696,AIA,AIA,0.0
697,AIA,ALB,8112.0
698,AIA,AND,6592.0
699,AIA,ARE,11799.575757575758
700,AIA,ARG,5699.575757575758
701,AIA,ARM,10134.0
702,AIA,ASM,12335.0
703,AIA,ATG,177.0
704,AIA,AUS,16591.757575757576
705,AIA,AUT,7744.0
706,AIA,AZE,10493.838709677419
707,AIA,BDI,10389.0
708,AIA,BEL,6886.484848484848
709,AIA,BEN,7169.636363636364
710,AIA,BES,874.0
711,AIA,BFA,6536.0
712,AIA,BGD,14577.151515151516
713,AIA,BGR,8451.727272727272
714,AIA,BHR,11331.0
715,AIA,BHS,1660.0
716,AIA,BIH,7951.0
717,AIA,BLR,8456.09677419355
718,AIA,BLZ,2727.0
719,AIA,BMU,1569.0
720,AIA,BOL,3936.7272727272725
721,AIA,BRA,4459.848484848485
722,AIA,BRB,676.0
723,AIA,BRN,17434.0
724,AIA,BTN,14162.0
725,AIA,BWA,10741.0
726,AIA,CAF,8981.0
727,AIA,CAN,3674.151515151515
728,AIA,CHE,7087.363636363636
729,AIA,CHL,5756.909090909091
730,AIA,CHN,14261.666666666666
731,AIA,CIV,6537.090909090909
732,AIA,CMR,8139.363636363636
733,AIA,COD,9432.545454545454
734,AIA,COG,8818.363636363636
735,AIA,COK,11402.0
736,AIA,COL,1849.4242424242425
737,AIA,COM,12123.0
738,AIA,CPV,4229.0
739,AIA,CRI,2447.030303030303
740,AIA,CUB,1875.6969696969697
741,AIA,CUW,925.0
742,AIA,CYM,1934.0
743,AIA,CYP,9428.0
744,AIA,CZE,7626.758620689655
745,AIA,DEU,7271.636363636364
746,AIA,DJI,11284.0
747,AIA,DMA,368.0
748,AIA,DNK,7454.0
749,AIA,DOM,739.6969696969697
750,AIA,DZA,6741.212121212121
751,AIA,ECU,2805.757575757576
752,AIA,EGY,9395.242424242424
753,AIA,ERI,10709.0
754,AIA,ESH,5185.0
755,AIA,ESP,6268.69696969697
756,AIA,EST,8158.0
757,AIA,ETH,10933.333333333334
758,AIA,FIN,8140.333333333333
759,AIA,FJI,13561.0
760,AIA,FLK,7762.0
761,AIA,FRA,6749.151515151515
762,AIA,FRO,6499.0
763,AIA,FSM,14715.0
764,AIA,GAB,8156.0
765,AIA,GBR,6503.30303030303
766,AIA,GEO,10087.0
767,AIA,GHA,6859.939393939394
768,AIA,GIB,5961.0
769,AIA,GIN,5409.0
770,AIA,GLP,284.0
771,AIA,GMB,4984.0
772,AIA,GNB,5138.0
773,AIA,GNQ,8137.0
774,AIA,GRC,8489.121212121212
775,AIA,GRD,696.0
776,AIA,GRL,5177.0
777,AIA,GTM,2959.0
778,AIA,GUF,1876.0
779,AIA,GUM,15370.0
780,AIA,GUY,1370.0
781,AIA,HKG,15514.0
782,AIA,HND,2641.4545454545455
783,AIA,HRV,7739.0
784,AIA,HTI,981.0
785,AIA,HUN,7951.0
786,AIA,IDN,18193.121212121212
787,AIA,IMN,6503.30303030303
788,AIA,IND,13927.969696969696
789,AIA,IRL,6214.0
790,AIA,IRN,10957.848484848484
791,AIA,IRQ,10460.181818181818
792,AIA,ISL,5960.0
793,AIA,ISR,9672.363636363636
794,AIA,ITA,7416.242424242424
795,AIA,JAM,1454.0
796,AIA,JOR,9770.0
797,AIA,JPN,13682.727272727272
798,AIA,KAZ,11575.967741935483
799,AIA,KEN,11143.787878787878
800,AIA,KGZ,11979.0
801,AIA,KHM,16460.0
802,AIA,KIR,13530.0
803,AIA,KNA,108.0
804,AIA,KOR,13824.727272727272
805,AIA,KWT,10944.0
806,AIA,LAO,15709.0
807,AIA,LBN,9657.0
808,AIA,LBR,5816.0
809,AIA,LBY,7895.969696969697
810,AIA,LCA,516.0
