,Origin ISO,Destination ISO,Religious similarity
921,AIA,ZAF,0.9786862000000001
922,AIA,ZMB,1.0558218000000001
923,AIA,ZWE,0.9555535000000001
924,ALB,ABW,0.2831881
925,ALB,AFG,1.11329394
926,ALB,AGO,0.28224255000000004
927,ALB,AIA,0.2122418
928,ALB,ALB,0.8487939900000001
929,ALB,AND,0.32495114
930,ALB,ARE,0.7915604900000001
931,ALB,ARG,0.30872482
932,ALB,ARM,0.27564002
933,ALB,ASM,0.2107552
934,ALB,ATG,0.1852721
935,ALB,AUS,0.22291211000000005
936,ALB,AUT,0.29466894
937,ALB,AZE,0.71796655
938,ALB,BDI,0.30210868
939,ALB,BEL,0.31908670000000006
940,ALB,BEN,0.44805485
941,ALB,BES,0.20591310000000002
942,ALB,BFA,0.8022779699999999
943,ALB,BGD,1.1028036
944,ALB,BGR,0.39584704
945,ALB,BHR,0.7866089199999999
946,ALB,BHS,0.2298627
947,ALB,BIH,0.71429851
948,ALB,BLR,0.22835857000000004
949,ALB,BLZ,0.23601764
950,ALB,BMU,0.19670639999999998
951,ALB,BOL,0.31440788
952,ALB,BRA,0.28059559
953,ALB,BRB,0.17909107
954,ALB,BRN,0.52220279
955,ALB,BTN,0.00942425
956,ALB,BWA,0.19894639999999997
957,ALB,CAF,0.31839566
958,ALB,CAN,0.26869185000000007
959,ALB,CHE,0.28232642
960,ALB,CHL,0.30630760999999995
961,ALB,CHN,0.0783703
962,ALB,CIV,0.5749943400000002
963,ALB,CMR,0.40464629999999996
964,ALB,COD,0.28317382999999996
965,ALB,COG,0.27338175
966,ALB,COK,0.2178161
967,ALB,COL,0.31830314
968,ALB,COM,0.6480090700000001
969,ALB,CPV,0.36091489
970,ALB,CRI,0.30662768000000007
971,ALB,CUB,0.24043721
972,ALB,CUW,0.2987921
973,ALB,CYM,0.210588
974,ALB,CYP,0.4659226
975,ALB,CZE,0.18594933
976,ALB,DEU,0.2756474
977,ALB,DJI,1.2050188299999998
978,ALB,DMA,0.30739099999999997
979,ALB,DNK,0.23995436000000003
980,ALB,DOM,0.29914799999999997
981,ALB,DZA,1.2195200000000002
